id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,allocation pressure,124,71,17,22,329,ship,baseline,monotonic-signal,raise-signal
m002,g002,dirty state,79,33,34,73,269,ship,edge,drag-penalty,drop-slack
m003,g003,guard slack,109,33,30,87,365,ship,recovery,confidence-floor,raise-drag
m004,g004,layout drift,39,30,19,58,186,ship,negative,lane-boundary,lower-confidence
m005,g005,allocation pressure,105,66,40,25,246,ship,baseline,monotonic-signal,raise-signal
m006,g006,dirty state,40,6,10,49,164,watch,edge,drag-penalty,drop-slack
m007,g007,guard slack,103,65,45,66,313,ship,recovery,confidence-floor,raise-drag
m008,g008,layout drift,50,56,33,23,136,watch,negative,lane-boundary,lower-confidence
m009,g009,allocation pressure,80,19,11,25,207,ship,baseline,monotonic-signal,raise-signal
m010,g010,dirty state,41,62,43,24,106,hold,edge,drag-penalty,drop-slack
m011,g011,guard slack,74,68,47,71,264,ship,recovery,confidence-floor,raise-drag
m012,g012,layout drift,50,68,40,86,260,ship,negative,lane-boundary,lower-confidence
m013,g013,allocation pressure,94,70,17,32,288,ship,baseline,monotonic-signal,raise-signal
m014,g014,dirty state,106,28,31,46,270,ship,edge,drag-penalty,drop-slack
m015,g015,guard slack,76,61,26,57,275,ship,recovery,confidence-floor,raise-drag
m016,g016,layout drift,65,39,35,11,121,watch,negative,lane-boundary,lower-confidence
m017,g017,allocation pressure,72,66,24,98,358,ship,baseline,monotonic-signal,raise-signal
m018,g018,dirty state,65,1,20,97,285,ship,edge,drag-penalty,drop-slack
m019,g019,guard slack,70,57,26,101,347,ship,recovery,confidence-floor,raise-drag
m020,g020,layout drift,76,12,20,8,140,watch,negative,lane-boundary,lower-confidence
m021,g021,allocation pressure,47,62,43,72,214,ship,baseline,monotonic-signal,raise-signal
m022,g022,dirty state,111,44,35,86,368,ship,edge,drag-penalty,drop-slack
m023,g023,guard slack,63,19,19,70,247,ship,recovery,confidence-floor,raise-drag
m024,g024,layout drift,42,73,44,11,91,hold,negative,lane-boundary,lower-confidence
m025,g025,allocation pressure,88,49,19,48,283,ship,baseline,monotonic-signal,raise-signal
m026,g026,dirty state,57,12,8,65,240,ship,edge,drag-penalty,drop-slack
m027,g027,guard slack,94,13,11,35,249,ship,recovery,confidence-floor,raise-drag
m028,g028,layout drift,116,45,25,11,249,ship,negative,lane-boundary,lower-confidence
m029,g029,allocation pressure,95,64,37,23,226,ship,baseline,monotonic-signal,raise-signal
m030,g030,dirty state,75,65,23,70,309,ship,edge,drag-penalty,drop-slack
m031,g031,guard slack,117,49,25,98,429,ship,recovery,confidence-floor,raise-drag
m032,g032,layout drift,68,38,38,18,134,watch,negative,lane-boundary,lower-confidence
m033,g033,allocation pressure,41,35,28,45,151,watch,baseline,monotonic-signal,raise-signal
m034,g034,dirty state,62,60,25,56,246,ship,edge,drag-penalty,drop-slack
m035,g035,guard slack,80,22,32,23,164,watch,recovery,confidence-floor,raise-drag
m036,g036,layout drift,49,70,44,84,248,ship,negative,lane-boundary,lower-confidence
m037,g037,allocation pressure,90,61,16,96,401,ship,baseline,monotonic-signal,raise-signal
